26.6130  102.1000   18.00   3.80 0.0 0.0 0.0    508389
26.0600  103.1280    6.00   3.40 0.0 0.0 0.0    270557
26.2030  103.0470    7.00   3.60 0.0 0.0 0.0    328031
26.3600  103.0100   10.00   4.60 0.0 0.0 0.0    381098
26.8650  103.1180   15.00   3.30 0.0 0.0 0.0    475955
26.9600  103.4600   10.00   4.70 0.0 0.0 0.0    522492
26.9660  103.1240    6.00   3.60 0.0 0.0 0.0    538715
26.6020  104.3100    5.00   3.40 0.0 0.0 0.0    205364
26.8500  104.1180   14.00   3.80 0.0 0.0 0.0    220538
26.8500  104.2210    6.00   3.30 0.0 0.0 0.0    222282
26.9040  104.0990    2.00   3.50 0.0 0.0 0.0    239947
26.8520  104.1830    6.00   2.90 0.0 0.0 0.0    267484
26.8400  104.1420    6.00   3.30 0.0 0.0 0.0    300396
26.1690  105.3680    8.00   3.60 0.0 0.0 0.0    202230
26.0710  105.3470    5.00   3.30 0.0 0.0 0.0    212945
26.0110  105.2780   10.00   4.00 0.0 0.0 0.0    246630
26.5240  105.3360    6.00   3.10 0.0 0.0 0.0    492501
26.0840  105.2110   10.00   3.60 0.0 0.0 0.0    499895
26.7560  105.2160   23.00   2.90 0.0 0.0 0.0    583829
26.4720  106.4640    9.00   1.90 0.0 0.0 0.0    315369
26.2860  106.7110    9.00   2.50 0.0 0.0 0.0    480846
26.1540  106.2070   18.00   2.10 0.0 0.0 0.0    495277
27.5470   96.8590    3.00   2.70 0.0 0.0 0.0    332716
27.1230   96.7840    7.00   3.50 0.0 0.0 0.0    347568
27.6170   96.7980    7.00   2.60 0.0 0.0 0.0    382706
27.6860   96.7350    8.00   3.50 0.0 0.0 0.0    394203
27.6390   96.6780    5.00   2.90 0.0 0.0 0.0    394213
27.3460   96.7910    6.00   3.10 0.0 0.0 0.0    394291
27.7200   96.9930    5.00   3.50 0.0 0.0 0.0    421834
27.2360   96.8030   10.00   3.00 0.0 0.0 0.0    446910
27.5130   96.7080    8.00   2.90 0.0 0.0 0.0    521887
27.7570   96.4490    6.00   3.10 0.0 0.0 0.0    570856
27.6660   97.6860    6.00   3.10 0.0 0.0 0.0    249054
27.7670   97.4150   10.00   2.70 0.0 0.0 0.0    335478
27.8070   97.6140    7.00   2.50 0.0 0.0 0.0    400660
27.0820   97.6630   12.00   3.10 0.0 0.0 0.0    474996
27.7400   97.5300   12.00   2.80 0.0 0.0 0.0    484383
27.9640   97.8840   12.00   2.50 0.0 0.0 0.0    537500
27.9780   98.5370    8.00   1.50 0.0 0.0 0.0    382896
27.5750   98.5450   10.00   1.80 0.0 0.0 0.0    477926
27.1640   98.2610    8.00   3.00 0.0 0.0 0.0    515391
27.2920   98.9020   25.00   1.60 0.0 0.0 0.0    581837
27.7400   98.0510    7.00   2.60 0.0 0.0 0.0    583218
27.7230   99.9370    9.00   3.70 0.0 0.0 0.0    254948
27.6450   99.7890   12.00   3.10 0.0 0.0 0.0    359600
27.0410   99.2150   10.00   2.30 0.0 0.0 0.0    400378
27.7600   99.8660   17.00   2.90 0.0 0.0 0.0    545466
27.7830   99.8640   17.00   3.40 0.0 0.0 0.0    546037
