#  Velocities of campaign stations with respective to EURASIA plate from 2009-2014
#  Lon.— Longitude in angle degree
#  Lat.— Latitude in angle degree
#  Ve  — Velocity(mm/a) in east component
#  Vn  — Velocity(mm/a) in north component
#  sVe — Velocity error(mm/a) in east component
#  sVn — Velocity error(mm/a) in north component
#  cor - Correlation between eastward and northward components
#  Site— station code
#  Lon.     Lat.    Ve     Vn       sVe     sVn  cor   Site
   121.2    36.8    7.61   -1.10    0.61    0.44  0  B006
   120.7    37.0    6.50   -0.60    0.30    0.34  0  B007
   120.5    33.2    7.18   -2.24    0.19    0.47  0  B009
   119.9    31.7    8.16    1.69    0.42    1.11  0  B012
   120.8    31.7    6.97   -1.19    0.22    0.56  0  B013
   120.6    31.2    6.92    0.03    0.31    0.32  0  B015
   120.2    30.8    8.01   -0.59    0.86    0.81  0  B017
   122.4    30.7    6.42   -0.40    0.34    0.16  0  B019
   118.8    37.6    5.94   -1.40    0.23    0.39  0  B020
   118.1    37.2    7.06   -0.13    0.65    0.66  0  B021
   118.7    36.9    7.34    1.32    0.58    0.48  0  B022
   120.0    37.2    8.01    0.27    0.59    0.38  0  B023
   119.9    36.8    6.06   -0.48    0.17    0.18  0  B024
   118.6    36.5    5.84   -0.31    0.23    0.18  0  B026
   118.1    36.8    6.47   -0.42    0.30    0.17  0  B027
   118.2    36.2    6.55    0.30    0.34    1.00  0  B028
   119.8    36.4    7.23   -0.89    1.04    0.67  0  B029
   119.5    36.0    6.70   -0.23    0.46    0.63  0  B030
   119.2    35.8    7.53   -3.26    0.88    0.90  0  B031
   118.4    35.5    5.75   -1.26    0.18    0.31  0  B032
   117.8    35.9    5.48   -1.25    0.29    0.30  0  B033
   118.6    35.8    5.57   -0.63    0.45    0.19  0  B034
   118.9    35.6    6.64   -2.05    0.25    0.81  0  B035
   119.5    35.5    7.39   -1.19    0.23    0.42  0  B036
   118.2    35.1    5.94   -0.99    0.57    0.42  0  B038
   118.9    35.1    5.95   -1.34    0.25    0.38  0  B039
   119.3    34.6    6.89   -0.65    0.49    0.38  0  B040
   118.6    34.5    7.48   -2.14    0.27    0.46  0  B041
   118.0    34.9    6.18   -0.98    0.17    0.32  0  B043
   117.7    34.6    3.79   -2.96    0.29    0.21  0  B044
   117.1    35.1    5.65   -3.36    0.47    0.27  0  B045
   117.2    34.3    6.99   -1.52    0.47    0.44  0  B046
   117.9    33.9    8.34    0.08    0.33    0.54  0  B047
   118.3    34.0    7.04   -1.52    1.13    1.12  0  B048
   119.2    34.1    5.78   -1.05    0.75    0.28  0  B050
   119.8    34.0    8.41    0.73    0.25    0.33  0  B051
   120.0    33.5    7.22   -1.99    0.20    0.56  0  B052
   119.0    33.5    7.10   -0.59    0.94    0.96  0  B053
   118.7    33.8    7.04   -0.33    0.30    0.32  0  B054
   118.2    33.5    6.46   -2.42    0.19    0.62  0  B055
   117.9    33.5    7.23   -0.22    0.39    0.36  0  B056
   117.6    33.6    7.28   -0.89    0.19    0.47  0  B057
   117.0    33.6    8.47   -2.17    0.34    0.52  0  B058
   119.4    33.2    6.33   -1.74    0.30    0.33  0  B059
   119.0    32.7    6.55   -0.67    0.60    0.27  0  B060
   118.5    33.0    5.59   -1.28    1.69    0.22  0  B061
   117.7    32.6    7.05   -1.00    0.55    0.52  0  B062
   116.7    32.7    5.31    0.52    0.46    0.20  0  B064
   117.1    32.5    6.59   -1.00    0.33    0.49  0  B065
   118.3    32.3    6.75   -0.81    0.29    0.29  0  B066
   119.5    32.4    7.92    1.32    0.48    0.41  0  B067
   118.3    31.7    7.31   -0.22    0.26    0.36  0  B069
   117.8    31.7    6.03   -1.15    0.40    0.38  0  B070
   117.4    31.9    5.70   -1.73    0.85    0.81  0  B071
   118.2    31.1    7.77   -0.35    0.28    0.51  0  B073
   119.5    31.4    7.43   -1.47    0.24    0.39  0  B074
   118.7    34.8    6.64   -0.97    0.24    0.34  0  B302
   118.5    34.8    6.17   -0.55    0.47    0.28  0  B303
   116.6    36.1    1.51   -4.42    0.79    0.70  0  B304
   116.6    38.0    4.54   -1.82    0.19    0.29  0  B305
   116.7    34.2    5.72   -1.25    0.28    0.33  0  B306
   116.8    32.1    6.93   -1.56    0.35    0.38  0  B307
   116.8    34.8    7.51    0.80    0.29    0.23  0  B308
   116.9    31.5    6.88   -0.99    0.36    0.32  0  B309
   117.0    35.8    5.48   -0.92    0.67    0.41  0  B310
   117.1    36.7    7.01   -1.73    0.88    0.38  0  B311
   117.2    37.3    6.55   -3.76    0.73    0.45  0  B312
   117.4    37.8    6.64   -1.79    0.60    0.47  0  B313
   117.5    33.1    6.75   -1.14    0.33    0.37  0  B314
   117.5    34.9    6.64   -0.64    0.43    0.23  0  B315
   117.5    33.9    6.35   -0.78    0.28    0.20  0  B316
   117.6    36.9    6.24   -0.62    0.21    0.23  0  B317
   117.6    36.4    5.98   -1.57    0.56    0.36  0  B318
   117.7    35.2    5.99   -0.25    0.83    0.25  0  B319
   117.8    38.1    6.88   -3.25    0.87    0.20  0  B320
   117.8    34.2    7.00   -0.97    0.24    0.50  0  B321
   118.0    35.5    7.23   -1.54    0.44    0.41  0  B322
   118.2    35.8    6.20   -1.18    0.57    0.35  0  B323
   118.3    37.5    7.41   -2.45    0.41    0.41  0  B324
   118.4    37.9    5.74   -0.66    0.20    0.37  0  B325
   118.5    36.0    6.78   -1.67    0.33    0.37  0  B326
   120.9    38.4    6.03   -0.37    0.20    0.39  0  B328
   120.8    38.2    6.80   -0.36    0.42    0.52  0  B329
   122.1    37.6    6.82    0.07    0.26    0.42  0  B330
   122.7    37.4    7.42   -0.90    0.36    0.61  0  B331
   120.8    37.3    6.54   -1.12    0.82    0.32  0  B332
   121.3    37.1    7.73   -0.53    0.39    0.36  0  B333
   121.8    37.2    6.46   -0.85    0.10    0.31  0  B334
   119.4    37.1    4.29   -4.31    0.27    0.45  0  B335
   119.7    37.1    4.60   -0.73    0.85    0.29  0  B336
   119.1    36.9    6.88   -1.13    1.20    0.36  0  B337
   120.3    36.9    5.44   -0.54    0.26    0.62  0  B338
   121.7    36.9    6.81   -1.00    0.46    0.29  0  B339
   120.8    36.7    6.82   -1.75    0.30    0.59  0  B340
   119.5    36.7    1.62   -3.28    0.77    0.79  0  B341
   120.1    36.5    7.11   -0.65    0.71    0.53  0  B342
   120.9    36.4    7.28   -0.85    0.36    0.42  0  B343
   118.8    36.4    5.89   -1.22    0.17    0.33  0  B344
   119.3    36.3    6.48   -0.20    0.65    0.20  0  B345
   118.9    36.1    6.91   -1.07    0.25    0.29  0  B346
   120.0    35.9    7.41   -1.18    0.42    0.43  0  B347
   119.1    35.4    6.21   -1.46    0.34    0.36  0  B348
   118.6    35.3    6.15   -1.45    0.40    0.32  0  B349
   119.4    35.1    6.71   -0.94    0.28    0.36  0  B350
   118.6    35.0    6.18   -1.19    0.29    0.33  0  B351
   118.2    34.8    6.45   -0.85    0.12    0.25  0  B352
   118.8    34.7    6.61   -0.96    0.38    0.31  0  B353
   119.1    34.4    6.15   -1.56    0.79    0.76  0  B354
   118.4    34.3    6.74   -1.08    0.17    0.23  0  B355
   120.1    34.3    7.57    0.10    0.49    0.48  0  B356
   120.4    33.9    8.15   -0.08    0.35    0.41  0  B357
   118.1    33.8    7.64   -1.09    0.30    0.40  0  B358
   119.5    33.8    7.25   -1.04    0.36    0.25  0  B359
   120.5    33.5    6.86    0.35    0.66    0.91  0  B360
   118.7    33.4    7.08   -0.78    0.31    0.20  0  B361
   117.9    32.8    6.51   -1.28    0.38    0.48  0  B362
   120.8    32.8    6.22   -1.10    0.27    0.46  0  B363
   119.8    32.7    7.23   -2.10    0.24    0.20  0  B364
   118.5    32.6    5.28   -2.13    0.36    0.33  0  B365
   117.8    32.2    6.22   -1.31    0.47    0.45  0  B366
   121.6    32.1    6.56   -1.44    0.21    0.44  0  B367
   118.8    32.1    6.77   -0.64    0.47    0.42  0  B368
   119.4    32.1    7.53   -0.51    0.19    0.58  0  B369
   121.4    31.7    7.29   -0.73    0.22    0.50  0  B370
   120.4    31.7    7.64   -1.09    0.46    0.49  0  B371
   117.4    31.4    6.62   -1.56    0.43    0.34  0  B372
   121.2    31.3    8.41   -0.55    0.41    0.49  0  B373
   118.8    31.3    6.85   -0.79    0.41    0.27  0  B374
   120.5    31.0    6.88   -0.83    0.25    0.30  0  B375
   121.9    30.9    8.56   -1.29    0.24    0.74  0  B376
